Example_ID,Value,Comment,Pattern,Role,Animacy,Positions,Particle
convwho-010,?,,,,,,
convwho-012,np,*möönü judumatommaane kaawede* -- not the argument,DEM ADV N,p,inan,"2,3,4",
convwho-014,n,,,,,,
convwho-020,n,,,,,,
convwho-022,n,,,,,,
convwho-025,n,,,,,,
convwho-028,part,'did you bring *good lightbulbs*?’,N PART N,p,inan,"1,3",ka
convwho-031,part,,NUM PART N,p,inan,"1,3",tü
convwho-044,n,,,,,,
convwho-047,n,,,,,,
convwho-048,n,,,,,,
convwho-051,n,elaboration pattern,,,,,
convwho-058,np,,N N DEM,s_nvp,inan,"1,2,3",
convwho-064,n,,,,,,
ctoabjpic-001,n,,,,,,
ctoabjpic-002,n,,,,,,
ctoabjpic-003,n,afterthought,,,,,
ctoabjpic-004,n,,,,,,
ctoabjpic-006,n,,,,,,
ctoabjpic-008,y,"afterthought-ish, but the number is not repeated",NUM n N,p,inan,"1,3,4",
ctoabjpic-010,n,,,,,,
ctoabjpic-013,n,,,,,,
ctoabjpic-015,n,,,,,,
ctoabjpic-016,y,"1) elaboration pattern, 2) how are *tüwü* and *ñöödö* related? Note that the original transcription says *tüwü küntömö yaawö, ñöödö akudi küntömö unwa*, which clearly does not match the audio!",DEM V PART DEM,s,hum,"1,4",yaawö
ctoabjpic-018,n,,,,,,
ctoabjpic-020,np,,DEM N POSTP,obl,inan,"1,2",
ctoabjpic-025,n,treating *tüwü* as a false start,,,,,
ctoabjpic-027,np,,DEM N,possr,hum,"1,2",
ctoabjpic-029,n,,,,,,
ctoabjpic-031,n,,,,,,
ctoabjpic-007,n,afterthought,,,,,
ctoabjpic-019,n,,,,,,
ctoabjpic-032,n,afterthought,,,,,
ctoabjpic-035,np,*aakö tünküi*,NUM N,p,inan,"1,2",
ctoabjpic-036,n,elaboration pattern,,,,,
ctoabjpic-038,n,,,,,,
ctoabjpic-043,n,,,,,,
ctoabjpic-045,n,,,,,,
ctoabjpic-048,n,,,,,,
ctoabjpic-050,n,,,,,,
ctoabjpic-051,np,,DEM N,?,inan,"1,2",
ctoabjpic-053,n,,,,,,
ctoabjpic-054,n,,,,,,
ctoabjpic-055,np,,DEM N,nvp,inan,"2,3",
ctoabjpic-057,np_arg,*iyö yooküdü*,DEM N,p,inan,"2,3",
ctoabjpic-061,n,,,,,,
ctoabjpic-062,n,,,,,,
ctoabjpic-063,n,,,,,,
ctoabjpic-067,n,"*ñöödö* could be 'she', or it could belong to *tinñouwö*",,,,,
ctoabjpic-069,n,,,,,,
ctoabjpic-071,n,,,,,,
ctoabjpic-073,n,,,,,,
ctoabjpic-076,n,,,,,,
ctoabjpic-077,n,,,,,,
ctoabjpic-078,np,,DEM N,s,hum,"2,3",
ctoabjpic-079,n,,,,,,
ctoabjpic-083,n,,,,,,
ctoabjpic-084,n,,,,,,
ctoabjpic-088,np,,DEM N,s_nvp,hum,"2,3",
ctoabjpic-089,np,,DEM N,s_nvp,hum,"2,3",
ctoabjpic-090,np,,DEM N,s_nvp,inan,"5,6",
ctoabjpic-092,n,,,,,,
ctoabjpic-093,n,,,,,,
ctoabjpic-094,y,,DEM Vi N,s_nvp,hum,"3,5",
ctoabjpic-095,n,,,,,,
ctoabjpic-096,n,,,,,,
convchur-004,n,,,,,,
convchur-005,n,,,,,,
convchur-006,n,,,,,,
convchur-008,y,,N adv DEM,p,inan,"3,5",
convchur-009,y,"*aneija ... yadanawi*, *mödöje* modifying the thinking",N adv N,s,hum,"1,3",
convchur-010,n,,,,,,
convchur-011,?,what does *mööyö* refer to? Audio says: missing material,,,,,
convchur-015,n,,,,,,
convchur-020,posp,,N POSTP DEM,obl,hum,"1,3",
convchur-023,?,"Interesting, unclear resolution of tüwü and ñöödö",,,,,
convchur-024,n,,,,,,
convchur-026,n,,,,,,
convchur-027,n,'that's what nadua said',,,,,
convchur-028,np_dd,,DEM N DEM,?,inan,"9,10,11",
convchur-029,np_dd,,DEM PART N DEM,p,inan,"1,3,4",tü
convchur-030,n,,,,,,
convchur-031,n,,,,,,
convchur-032,part,,DEM PART N,nvp,inan,"2,3,4",yaawö
convchur-033,n,,,,,,
convchur-038,n,,,,,,
convchur-041,n,,,,,,
convchur-042,n,,,,,,
convchur-043,np,,DEM N,p,inan,"3,4",
convchur-048,n,,,,,,
convchur-049,n,,,,,,
convchur-050,n,,,,,,
convchur-051,n,,,,,,
convchur-052,n,,,,,,
convchur-053,n,,,,,,
convchur-056,y,*tüwü* referring to ‘narration’,N Vi DEM,s,inan,"6,8",
convchur-057,n,,,,,,
convchur-058,n,,,,,,
convchur-060,np,möönü wotunnö,DEM N,p,inan,"1,2",
convchur-061,n,,,,,,
convchur-062,n,,,,,,
convchur-063,n,,,,,,
convchur-069,n,,,,,,
convchur-071,n,,,,,,
convchur-072,n,*ñöödö* combining with a name,,,,,
convchur-073,n,,,,,,
convchur-075,n,,,,,,
convchur-076,n,,,,,,
convchur-080,n,,,,,,
convchur-081,n,,,,,,
convchur-082,n,,,,,,
convchur-088,n,,,,,,
convchur-089,n,,,,,,
convchur-090,n,,,,,,
convchur-093,n,,,,,,
convchur-094,n,'[the one] [they call maria-pia]’,,,,,
convchur-095,n,,,,,,
convchur-098,n,,,,,,
convchur-102,n,,,,,,
convchur-104,n,,,,,,
convchur-107,n,,,,,,
convchur-108,np_arg,misglossed *ke*,DEM N POSTP,obl,inan,"1,2",
convchur-109,n,,,,,,
convchur-110,n,,,,,,
convchur-116,np,Interesting word order overall,DEM N,p,hum,"5,6",
convchur-117,y,Interesting: *ch-* coreferential with *tüwü*,,,,,
ctoabjpic-097,n,,,,,,
ctoabjpic-098,n,,,,,,
ctoabjpic-100,n,,,,,,
ctoabjpic-101,n,,,,,,
ctotapmor-001,np_arg,,DEM N,p,inan,"2,3",
ctotapmor-002,n,afterthought,,,,,
ctotapmor-006,n,,,,,,
ctotapmor-009,n,afterthought,,,,,
ctotapmor-016,?,DEM 2-drink breast.with.milk?,,,,,
ctotapmor-021,n,,,,,,
ctotapmor-025,np,,DEM N,s,hum,"3,4",
ctotapmor-033,n,,,,,,
ctotapmor-036,n,,,,,,
ctotapmor-052,n,,,,,,
ctotapmor-056,n,,,,,,
ctotapmor-057,np,*mödö inñüjötüdü*,DEM N,nvp,inan,"3,4",
ctotapmor-059,n,,,,,,
ctotapmor-061,n,,,,,,
ctotapmor-062,n,example of non-referential *iyö*,,,,,
ctotapmor-064,n,,,,,,
ctotapmor-066,n,,,,,,
ctotapmor-070,n,,,,,,
ctotapmor-072,n,,,,,,
ctotapmor-074,np,*tüwü mado*,DEM N,s,hum,"3,4",
ctotapmor-082,n,,,,,,
ctotapmor-088,n,,,,,,
ctotapmor-100,n,,,,,,
ctoyude-001,np,,DEM N,possr,inan,"3,4",
ctoyude-003,n,,,,,,
ctoyude-004,n,,,,,,
ctoyude-005,n,,,,,,
ctoyude-010b,np,*ñöödö chaamutonkomo*,DEM N,s_nvp,hum,"2,3",
ctoyude-011,n,,,,,,
ctoyude-013,np_arg,*iyö anoto jökkö*,DEM N POSTP,obl,inan,"1,2",
ctoyude-018,n,,,,,,
ctoyude-024,np,*ñöödö yakono*,DEM N,s,hum,"4,5",
ctoyude-027b,n,,,,,,
ctoyude-027d,n,,,,,,
ctoyude-031,n,,,,,,
ctoyude-033,n,,,,,,
ctoyude-034,n,,,,,,
ctoyude-035,n,,,,,,
ctoyude-036,n,,,,,,
ctoyude-038,n,,,,,,
ctoyude-040,n,Interesting interjected *tüwü*,,,,,
ctoyude-041,n,,,,,,
ctoyude-045,X,we don’t know what *tüwü* is,,,,,
ctoyude-046,n,,,,,,
ctoyude-050,np,,DEM N,p,hum,"3,4",
ctoyude-057,np,,DEM N,a,hum,"3,4",
ctoyude-060,n,,,,,,
ctoyude-061,n,,,,,,
ctoyude-076,n,,,,,,
ctoyude-079,n,,,,,,
ctoyude-080,n,,,,,,
ctoyude-083,n,,,,,,
ctoyude-084,n,,,,,,
ctoyude-086b,np,,DEM N,s,hum,"2,3",
ctoyude-087,n,afterthought -- audio?,,,,,
ctoyude-089,np,"interesting: *tüwü* could also refer to *saddu de'wöno*, but I don’t think it does",DEM N,s,hum,"7,8",
ctoyude-090,n,,,,,,
ctoyude-091,np,,DEM N,p,inan,"7,8",
ctoyude-093,np,*mödö tumudu*,DEM N,s,inan,"2,3",
ctoyude-095,n,,,,,,
ctoyude-096b,n,,,,,,
ctoyude-097,n,,,,,,
ctoyude-099,n,,,,,,
ctoyude-102,n,,,,,,
ctoyude-105,np,afterthought: *tüwü wokkiya*,DEM N,s,anim,"9,10",
ctoyude-106b,n,,,,,,
ctoyude-107,np,interesting: two inanimate demonstratives floating around,DEM N,a,inan,"1,2",
ctoyude-112b,X,missing translation,,,,,
ctoyude-113,n,,,,,,
ctoyude-113b,np,*ñöödö mado*,DEM N,possr,hum,"5,6",
ctoyude-114,n,,,,,,
ctoyude-118,n,,,,,,
ctoyude-120,n,*tüwü* ‘him’,,,,,
ctoyude-121,n,,,,,,
ctoyude-123,?,no comma according to audio,,,,,
ctoyude-126,n,,,,,,
ctoyude-127,n,,,,,,
ctoyude-129,n,,,,,,
ctoyude-131,n,,,,,,
ctoyude-137,n,,,,,,
ctoyude-140,n,,,,,,
ctoyude-153,n,,,,,,
ctoyude-154,n,,,,,,
ctoyude-160,n,,,,,,
ctoyude-169,n,,,,,,
ctoyude-176,np,,N DEM,s_nvp,inan,"3,4",
ctoyude-181,n,,,,,,
ctoyude-183,n,,,,,,
ctoyude-197,n,,,,,,
ctoyude-201,n,,,,,,
ctoyude-216,np,,DEM N,?,inan,"1,2",
ctoyude-217,n,initial *iyö* 'there'?,,,,,
ctoyude-218,n,,,,,,
ctoyude-219,n,,,,,,
ctoyude-221,n,,,,,,
ctoyude-223,n,,,,,,
ctoyude-224,n,,,,,,
descbuscmat-001,n,,,,,,
descbuscmat-003,n,,,,,,
descbuscmat-023,n,,,,,,
descbuscmat-032,n,,,,,,
descbuscmat-039,n,,,,,,
descbuscmat-045,n,,,,,,
descbuscmat-070,n,,,,,,
descbuscmat-088,np,not sure what ‘tiríta’ is,DEM N,p,anim,"4,5",
descbuscmat-092,np,,DEM N,s,anim,"4,5",
descbuscmat-097,n,,,,,,
descbuscmat-104,n,,,,,,
descbuscmat-122,n,,,,,,
descbuscmat-127,n,,,,,,
descbuscmat-132,np,,DEM DEM,a,anim,"4,5",
descbuscmat-135,n,,,,,,
descbuscmat-136,n,,,,,,
descbuscmat-157,n,,,,,,
descbuscmat-163,n,,,,,,
descbuscmat-164,n,,,,,,
descbuscmat-176,n,,,,,,
descbuscmat-177,n,,,,,,
descbuscmat-180,n,,,,,,
descbuscmat-193,n,,,,,,
desctala-002,n,,,,,,
desctala-017,n,afterthought,,,,,
desctala-018,np,,ADV N,s,hum,"1,2",
desctala-022,n,,,,,,
desctala-029,n,,,,,,
desctala-032,n,,,,,,
desctala-035,n,,,,,,
desctala-038,n,,,,,,
desctala-039,n,,,,,,
desctala-040,n,,,,,,
histana-005,n,,,,,,
histana-008,n,,,,,,
histana-009,n,,,,,,
histana-011,n,,,,,,
histana-012,n,,,,,,
histana-013,n,,,,,,
histana-016,n,,,,,,
histana-021,n,,,,,,
histana-024,n,,,,,,
histana-025,n,,,,,,
histana-031,n,,,,,,
histana-032,n,,,,,,
histana-035,n,,,,,,
histana-036,n,,,,,,
histana-039,n,,,,,,
histana-041,n,,,,,,
histana-042,n,,,,,,
histana-050,n,,,,,,
histana-051,n,,,,,,
histana-058,n,,,,,,
histana-059,np,"'that was beautiful our life', but how do the parts fit together?",DEM N,nvp,inan,"1,2",
histana-063,n,,,,,,
histana-070,n,,,,,,
histana-072,np,,N N n,nvp,inan,"2,3,4",
histana-075,n,,,,,,
histana-076,n,,,,,,
histana-077,n,,,,,,
histana-087,n,,,,,,
histana-088,n,,,,,,
histana-089,n,,,,,,
histana-090,n,,,,,,
histana-092,n,,,,,,
histana-098,n,,,,,,
convchur-009,y,yadanawi ... mödö,N adv DEM,s_nvp,hum,"6,8",
ctotapmor-074,np,*iyö kamjöödü*,DEM N,s_nvp,inan,"8,9",
